decade,year,channel,video_id,title,start_seconds,end_seconds
1980s,1980,Comedy,ZzY2YtEX4Op,Comedy (1980),0,0
1980s,1980,Commercials,ciecPT3K6ja,Commercials (1980),0,0
1980s,1980,Commercials,YLP0fLiNQ7V,Commercials (1980),0,0
1980s,1980,Sports,-YzQ_RQGeMF,Sports (1980),0,0
1980s,1980,Music,QtuY8yxDeCe,Music (1980),0,0
1980s,1980,Trailers,4e39KUFFt_5,Trailers (1980),0,0
1980s,1980,Commercials,MsfmxcgZteK,Commercials (1980),0,0
1980s,1980,Music,QzSkjbOy302,Music (1980),0,0
1980s,1980,Music,UNK8TDz5GYD,Music (1980),0,0
1980s,1980,Music,ntuLkJQcb-U,Music (1980),0,0
1980s,1980,Cartoons,Crr4pEYoixI,Cartoons (1980),0,0
1980s,1980,Music,kzrnvGYdNgB,Music (1980),0,0
1980s,1980,Commercials,eyS4I2_VW7Z,Commercials (1980),0,0
1980s,1980,Commercials,YWS9qBKWpIp,Commercials (1980),0,0
1980s,1980,Commercials,qpzFJwbEkcI,Commercials (1980),0,0
1980s,1980,Trailers,Ejjqis6pa4K,Trailers (1980),0,0
1980s,1980,Music,AH0YbphHjUh,Music (1980),0,0
1980s,1980,Music,8mtB0CD3srC,Music (1980),0,0
1980s,1980,Trailers,o0MHaFe9IEC,Trailers (1980),0,0
1980s,1980,Cartoons,OY8EMj5bDSJ,Cartoons (1980),0,0
1980s,1980,Specials,gozrQioKuxk,Specials (1980),0,0
1980s,1980,Cartoons,Hsu6i7EYS7A,Cartoons (1980),0,0
1980s,1980,Music,ZhjtmtVFDsQ,Music (1980),0,0
1980s,1980,Music,4alXiLmLjcU,Music (1980),0,0
1980s,1980,Gameshows,QRzS0M3CuGm,Gameshows (1980),0,0
1980s,1980,Music,ajHofiB0bVt,Music (1980),0,0
1980s,1980,Trailers,YoFXNkvieAO,Trailers (1980),0,0
1980s,1980,Comedy,A3uP9Qgqwlu,Comedy (1980),0,0
1980s,1980,Commercials,GybU5_1kJkh,Commercials (1980),0,0
1980s,1980,Sports,FWo0v7S501N,Sports (1980),0,0
1980s,1980,Music,jXFNGUrY1QL,Music (1980),0,0
1980s,1980,Commercials,KKJgi5CEJQj,Commercials (1980),0,0
1980s,1980,Music,YsT6I0s8Uth,Music (1980),0,0
1980s,1980,Music,MIvfFVCdMsU,Music (1980),0,0
1980s,1980,Comedy,FEaR8NS6lNQ,Comedy (1980),0,0
1980s,1980,Gameshows,d4ZlIHosfH1,Gameshows (1980),0,0
1980s,1980,Commercials,RqXQhOcNlMm,Commercials (1980),0,0
1980s,1980,Music,a3JOVAZxi6V,Music (1980),0,0
1980s,1980,Commercials,RGgFKfMCnZI,Commercials (1980),0,0
1980s,1980,Trailers,kLuY2Bf1e9K,Trailers (1980),0,0
1980s,1980,Music,J2iRXBod6G5,Music (1980),0,0
1980s,1980,Trailers,DyPIRYnoYK-,Trailers (1980),0,0
1980s,1980,Gameshows,4AizlVgjZl4,Gameshows (1980),0,0
1980s,1980,Commercials,DLaoZxNKfkV,Commercials (1980),0,0
1980s,1980,Music,ivx0LeYIkUj,Music (1980),0,0
1980s,1980,Music,E3Zi1Q8kHqn,Music (1980),0,0
1980s,1980,Music,Ay4jx7Oddyo,Music (1980),0,0
1980s,1980,Trailers,XyUpkoZHZi1,Trailers (1980),0,0
1980s,1980,Cartoons,LgEUQzi0L72,Cartoons (1980),0,0
1980s,1980,Movies,ZWcKAzGuTk0,Movies (1980),0,0
1980s,1980,Sports,8d0Aa4q-u2U,Sports (1980),0,0
1980s,1980,Cartoons,p5vRURgBvM5,Cartoons (1980),0,0
1980s,1980,Music,rYWEXSgx0Ed,Music (1980),0,0
1980s,1980,Music,2e6vbrE8UsD,Music (1980),0,0
1980s,1980,Commercials,4lmMFRi4DAU,Commercials (1980),0,0
1980s,1980,Music,glJ52sIMaMT,Music (1980),0,0
1980s,1980,Trailers,MGI4Z1m3sfy,Trailers (1980),0,0
1980s,1980,Trailers,ADSkZdZ8Rsv,Trailers (1980),0,0
1980s,1980,Cartoons,3tdAcza-Hk0,Cartoons (1980),0,0
1980s,1980,Commercials,q-u2pvBQvOL,Commercials (1980),0,0
1980s,1980,Gameshows,u7kj_snU-4H,Gameshows (1980),0,0
1980s,1980,Trailers,U-YS5cYgn71,Trailers (1980),0,0
1980s,1980,Specials,3XiUPL5kYZj,Specials (1980),0,0
1980s,1980,Commercials,AgeLG59bGAb,Commercials (1980),0,0
1980s,1980,Trailers,1qlYzvAhl28,Trailers (1980),0,0
1980s,1980,Music,CW1_r0Zc3gl,Music (1980),0,0
1980s,1980,Commercials,onrGZ9v0QQS,Commercials (1980),0,0
1980s,1980,Gameshows,YYuQfN68sHW,Gameshows (1980),0,0
1980s,1980,Music,KFwkG0dYJ8k,Music (1980),0,0
1980s,1980,Commercials,UG2BHFTEo0Z,Commercials (1980),0,0
1980s,1980,Gameshows,jzgQRzDpD-p,Gameshows (1980),0,0
1980s,1980,Commercials,j0lEEA_RGgY,Commercials (1980),0,0
1980s,1980,Music,r-oLXO4J9eI,Music (1980),0,0
1980s,1980,Commercials,uAWhHzkk06m,Commercials (1980),0,0
1980s,1980,Music,M6buGA5lI-G,Music (1980),0,0
1980s,1980,Music,IdTz-LhWEkJ,Music (1980),0,0
1980s,1980,Commercials,EqPkMlk8og2,Commercials (1980),0,0
1980s,1980,Trailers,VK4rjQigXxa,Trailers (1980),0,0
1980s,1980,Comedy,CvnV4sVJdoT,Comedy (1980),0,0
1980s,1980,Gameshows,V8h1MJ3VMNf,Gameshows (1980),0,0
1980s,1980,Music,EFruLeZKclb,Music (1980),0,0
1980s,1980,Commercials,45cpdLJQnE9,Commercials (1980),0,0
1980s,1980,Music,emHmyr4JtIM,Music (1980),0,0
1980s,1980,Commercials,aVFJrwgxe-U,Commercials (1980),0,0
1980s,1980,Trailers,Mh-kbHB9uDS,Trailers (1980),0,0
1980s,1980,Commercials,svEGcnikhNQ,Commercials (1980),0,0
1980s,1980,Sports,87u-UnRWgRR,Sports (1980),0,0
1980s,1980,Comedy,k1ZX-BmvMUf,Comedy (1980),0,0
1980s,1980,Music,ZQWceIKQhwi,Music (1980),0,0
1980s,1980,Trailers,birvN7sYzjh,Trailers (1980),0,0
1980s,1980,Commercials,gp3267j6RxY,Commercials (1980),0,0
1980s,1980,Trailers,8rm0r0D9CAh,Trailers (1980),0,0
1980s,1980,Music,QcECko5mVjt,Music (1980),0,0
1980s,1980,Music,weo37IYPEJo,Music (1980),0,0
1980s,1980,Music,MqZzjLpTUhh,Music (1980),0,0
1980s,1980,Trailers,NkkyFK-EsXW,Trailers (1980),0,0
1980s,1980,Music,MU6_0-WNx4m,Music (1980),0,0
1980s,1980,Comedy,59U2-e9QJsa,Comedy (1980),0,0
1980s,1980,Trailers,EaOv0jlKI70,Trailers (1980),0,0
1980s,1980,Music,7O6AWgCRnEq,Music (1980),0,0
1980s,1980,Music,GNudsJdIF05,Music (1980),0,0
1980s,1980,Trailers,Zs7Df_WjxcV,Trailers (1980),0,0
1980s,1980,Sports,bmHwjdLlpGM,Sports (1980),0,0
1980s,1980,Commercials,TlxSg28Gn8-,Commercials (1980),0,0
1980s,1980,Music,ARBqjFW1ymU,Music (1980),0,0
1980s,1980,Commercials,W8BAOnokUuD,Commercials (1980),0,0
1980s,1980,Commercials,vRFXT4zBy9o,Commercials (1980),0,0
1980s,1980,Music,zdYk2UBGgEJ,Music (1980),0,0
1980s,1980,Commercials,q7uI0wHKa1l,Commercials (1980),0,0
1980s,1980,Commercials,gW82opYpgI8,Commercials (1980),0,0
1980s,1980,Trailers,3uWbSrX8qYP,Trailers (1980),0,0
1980s,1980,Commercials,HuOkwVuTUhj,Commercials (1980),0,0
1980s,1980,Commercials,oLOTEQ_dgI2,Commercials (1980),0,0
1980s,1980,Sports,o4nX1X9YhQ0,Sports (1980),0,0
1980s,1980,Movies,acuUmM4CJat,Movies (1980),0,0
1980s,1980,Sports,gVyWZJHCqdH,Sports (1980),0,0
1980s,1980,Music,0ZN6qNP4JFN,Music (1980),0,0
1980s,1980,Music,fjcg62C5fU1,Music (1980),0,0
1980s,1980,Commercials,i-uQh0IwGuq,Commercials (1980),0,0
1980s,1980,Trailers,B5Gbr_wGart,Trailers (1980),0,0
1980s,1980,Music,W7U1knuvbm5,Music (1980),0,0
1980s,1980,Gameshows,xE02tAuhlg4,Gameshows (1980),0,0
1980s,1980,Sports,ze8X3a_HRyq,Sports (1980),0,0
1980s,1980,Commercials,YtlXzaTLohV,Commercials (1980),0,0
1980s,1980,Music,kpeUQCTm_oC,Music (1980),0,0
1980s,1980,Commercials,Xm60lVnXDrn,Commercials (1980),0,0
1980s,1980,Commercials,B8JzHTc42QP,Commercials (1980),0,0
1980s,1980,Trailers,Izo2jmMT_8L,Trailers (1980),0,0
1980s,1980,Commercials,U9Cw6ZHSFsg,Commercials (1980),0,0
1980s,1980,Sports,ws0zKmlTKi8,Sports (1980),0,0
1980s,1980,Trailers,uiPUHZz5V64,Trailers (1980),0,0
1980s,1980,Sports,GAYplK0wzMn,Sports (1980),0,0
1980s,1980,Sports,8m0gm4Xrcdn,Sports (1980),0,0
1980s,1980,Music,0YJPLQq9uD6,Music (1980),0,0
1980s,1980,Music,HjAxVMKDkAo,Music (1980),0,0
1980s,1980,Commercials,Gec1W82PYKv,Commercials (1980),0,0
1980s,1980,Commercials,kNyXLjuzTlx,Commercials (1980),0,0
1980s,1980,Comedy,dqy5ovIKxUa,Comedy (1980),0,0
1980s,1980,Cartoons,z4WPAxEzcP6,Cartoons (1980),0,0
1980s,1980,Gameshows,bJgqeHGtnak,Gameshows (1980),0,0
1980s,1980,Commercials,1m3IZl3WwvG,Commercials (1980),0,0
1980s,1980,Sports,wqD849Ni6CS,Sports (1980),0,0
1980s,1980,Kids,IFW5jkTtwf2,Kids (1980),0,0
1980s,1980,Cartoons,AHH7br74ffp,Cartoons (1980),0,0
1980s,1980,Comedy,4ZFQzECiP29,Comedy (1980),0,0
1980s,1980,Commercials,87ZvskloB87,Commercials (1980),0,0
1980s,1980,Music,Ep9hKSZtLsQ,Music (1980),0,0
1980s,1980,Commercials,IVpr8uHciCH,Commercials (1980),0,0
1980s,1980,Commercials,MOGw1IcuRfM,Commercials (1980),0,0
1980s,1980,Music,QfnU3GkfCX3,Music (1980),0,0
1980s,1980,Movies,Q-6YFfaDP3r,Movies (1980),0,0
1980s,1980,Commercials,GjJo050A5sn,Commercials (1980),0,0
1980s,1980,Sports,y9elOxBfgoA,Sports (1980),0,0
1980s,1980,Trailers,cUJWA21qvNs,Trailers (1980),0,0
1980s,1980,Trailers,0GFB8-GGyjy,Trailers (1980),0,0
1980s,1980,Specials,EjrY2yRxGTo,Specials (1980),0,0
1980s,1980,Gameshows,QDguqoxafxc,Gameshows (1980),0,0
1980s,1980,Gameshows,CW1hekuzwGp,Gameshows (1980),0,0
1980s,1980,Music,rdH-gXlA-KI,Music (1980),0,0
1980s,1980,Sports,sZ_-OLa56wv,Sports (1980),0,0
1980s,1980,Trailers,_aALJSjKYgK,Trailers (1980),0,0
1980s,1980,Sports,mEdvc3QSR58,Sports (1980),0,0
1980s,1980,Trailers,jRJKuSxrrM8,Trailers (1980),0,0
1980s,1980,Sports,k2LvQYCe0dt,Sports (1980),0,0
